experiment,PID,group,Experimenter,task,trial,cued,response
felt touch,asd08,ASD,3,forced choice,35,calming,sadness
felt touch,asd08,ASD,3,forced choice,36,gratitude,love
felt touch,asd08,ASD,3,forced choice,37,gratitude,attention
felt touch,asd08,ASD,3,forced choice,38,attention,attention
felt touch,asd08,ASD,3,forced choice,39,love,love
felt touch,asd08,ASD,3,forced choice,40,happiness,attention
felt touch,asd08,ASD,3,forced choice,41,sadness,sadness
felt touch,asd08,ASD,3,forced choice,42,calming,love
felt touch,asd08,ASD,3,forced choice,43,calming,love
felt touch,asd08,ASD,3,forced choice,44,sadness,sadness
felt touch,asd08,ASD,3,forced choice,45,happiness,attention
felt touch,asd08,ASD,3,forced choice,46,gratitude,attention
felt touch,asd08,ASD,3,forced choice,47,love,love
felt touch,asd08,ASD,3,forced choice,48,attention,attention
felt touch,asd08,ASD,3,forced choice,49,attention,attention
felt touch,asd08,ASD,3,forced choice,50,happiness,attention
felt touch,asd08,ASD,3,forced choice,51,sadness,sadness
felt touch,asd08,ASD,3,forced choice,52,gratitude,attention
felt touch,asd08,ASD,3,forced choice,53,love,love
felt touch,asd08,ASD,3,forced choice,54,calming,love
felt touch,asd08,ASD,3,forced choice,55,love,love
felt touch,asd08,ASD,3,forced choice,56,attention,attention
felt touch,asd08,ASD,3,forced choice,57,calming,love
felt touch,asd08,ASD,3,forced choice,58,sadness,sadness
felt touch,asd08,ASD,3,forced choice,59,happiness,attention
felt touch,asd08,ASD,3,forced choice,60,gratitude,attention
felt touch,asd09,ASD,3,forced choice,1,gratitude,other
felt touch,asd09,ASD,3,forced choice,2,happiness,attention
felt touch,asd09,ASD,3,forced choice,3,sadness,calming
felt touch,asd09,ASD,3,forced choice,4,attention,attention
